,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
71,0,3,female,-1.2428532116996807,5,2,2.244515754228721,S,Third,woman,False,Southampton,no,False
73,0,3,male,-0.24559910943801097,1,0,-0.20694715921693344,C,Third,man,True,Cherbourg,no,False
74,1,3,male,0.3527533519189909,0,0,2.9695324844323783,S,Third,man,True,Southampton,yes,True
75,0,3,male,-0.34532451966417793,0,0,-0.7210427881016249,S,Third,man,True,Southampton,no,True
76,0,3,male,0.12329691538978338,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True
77,0,3,male,0.12329691538978338,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True
79,1,3,female,0.1533025314666569,0,0,-0.3564868653820346,S,Third,woman,False,Southampton,yes,True
80,0,3,male,-0.6445007503426788,0,0,-0.6190426853717913,S,Third,man,True,Southampton,no,True
81,1,3,male,0.05357712124048994,0,0,-0.581264869545927,S,Third,man,True,Southampton,yes,True
82,1,3,female,0.12329691538978338,0,0,-0.7106538887495123,Q,Third,woman,False,Queenstown,yes,True
83,0,1,male,-0.046148288985677036,0,0,2.259626880559067,S,First,man,True,Southampton,no,True
84,1,2,female,-1.1431278014735138,0,0,-0.5057092378941985,S,Second,woman,False,Southampton,yes,True
85,1,3,female,0.4524787621451578,3,0,-0.10148660855745076,S,Third,woman,False,Southampton,yes,False
86,0,3,male,-1.2428532116996807,1,3,1.2981814677908208,S,Third,man,True,Southampton,no,False
87,0,3,male,0.12329691538978338,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True
89,0,3,male,-0.4450499298903449,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True
90,0,3,male,0.05357712124048994,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True
91,0,3,male,-0.8439515707950128,0,0,-0.705614328118342,S,Third,man,True,Southampton,no,True
92,0,1,male,1.7489090950853285,1,0,3.323072396057146,S,First,man,True,Southampton,no,False
93,0,3,male,-0.24559910943801097,1,2,0.25551375099696666,S,Third,man,True,Southampton,no,False
95,0,3,male,0.12329691538978338,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True
98,1,2,female,0.5522041723713248,0,1,0.4387361577524085,S,Second,woman,False,Southampton,yes,False
99,0,2,male,0.5522041723713248,1,0,0.6654030527075941,S,Second,man,True,Southampton,no,False
100,0,3,female,-0.046148288985677036,0,0,-0.7024712138416299,S,Third,woman,False,Southampton,no,True
101,0,3,male,0.12329691538978338,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True
103,0,3,male,0.4524787621451578,0,0,-0.6451698227969591,S,Third,man,True,Southampton,no,True
104,0,3,male,0.8513804030498257,2,0,-0.7002649893973995,S,Third,man,True,Southampton,no,False
105,0,3,male,-0.046148288985677036,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True
106,1,3,female,-0.7442261605688458,0,0,-0.7210427881016249,S,Third,woman,False,Southampton,yes,True
107,1,3,male,0.12329691538978338,0,0,-0.7115983341451588,S,Third,man,True,Southampton,yes,True
108,0,3,male,0.9511058132759926,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True
109,1,3,female,0.12329691538978338,1,0,0.5256251341518962,Q,Third,woman,False,Queenstown,yes,False
110,0,1,male,1.8486345053114954,0,0,2.6298494756525366,S,First,man,True,Southampton,no,True
111,0,3,female,-1.392441327038931,1,0,-0.20694715921693344,C,Third,child,False,Cherbourg,no,False
112,0,3,male,-0.6445007503426788,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True
113,0,3,female,-0.8439515707950128,1,0,-0.5567092892591153,S,Third,woman,False,Southampton,no,False
114,0,3,female,-1.1431278014735138,0,0,-0.2066373811271614,C,Third,woman,False,Cherbourg,no,True
115,0,3,male,-0.7442261605688458,0,0,-0.7002649893973995,S,Third,man,True,Southampton,no,True
117,0,2,male,0.05357712124048994,1,0,0.28762489444895134,S,Second,man,True,Southampton,no,False
121,0,3,male,0.12329691538978338,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True
122,0,2,male,0.4026160570320743,1,0,0.9729749180354507,C,Second,man,True,Cherbourg,no,False
123,1,2,female,0.4026160570320743,0,0,-0.3168201587648771,S,Second,woman,False,Southampton,yes,True
125,1,3,male,-1.6417548526043486,1,0,-0.44966962589811144,C,Third,child,False,Cherbourg,yes,False
126,0,3,male,0.12329691538978338,0,0,-0.713487224936452,Q,Third,man,True,Queenstown,no,True
127,1,3,male,-0.4450499298903449,0,0,-0.7594477156701985,S,Third,man,True,Southampton,yes,True
128,1,3,female,0.12329691538978338,1,1,0.39025210892149426,C,Third,woman,False,Cherbourg,yes,False
129,0,3,male,1.6491836848591614,0,0,-0.7720428394665417,S,Third,man,True,Southampton,no,True
130,0,3,male,0.4524787621451578,0,0,-0.7024712138416299,C,Third,man,True,Cherbourg,no,True
131,0,3,male,-0.8439515707950128,0,0,-0.766376167092662,S,Third,man,True,Southampton,no,True
132,0,3,female,1.8486345053114954,1,0,-0.2034867112872843,S,Third,woman,False,Southampton,no,False
133,1,2,female,0.05357712124048994,1,0,0.6654030527075941,S,Second,woman,False,Southampton,yes,False
134,0,2,male,-0.34532451966417793,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True
135,0,2,male,-0.5447753401165119,0,0,-0.16224844753177084,C,Second,man,True,Cherbourg,no,True
136,1,1,female,-0.9436769810211798,0,2,0.6868079631545289,S,First,woman,False,Southampton,yes,False
137,0,1,male,0.8513804030498257,1,0,2.712960670469438,S,First,man,True,Southampton,no,False
138,0,3,male,-1.2428532116996807,0,0,-0.6026697799928619,S,Third,man,True,Southampton,no,True
140,0,3,female,0.12329691538978338,0,2,-0.1471373212014252,C,Third,woman,False,Cherbourg,no,False
141,1,3,female,-0.6445007503426788,0,0,-0.713487224936452,S,Third,woman,False,Southampton,yes,True
142,1,3,female,-0.4450499298903449,1,0,-0.10148660855745076,S,Third,woman,False,Southampton,yes,False
143,0,3,male,-0.9436769810211798,0,0,-0.7890428565881806,Q,Third,man,True,Queenstown,no,True
144,0,2,male,-1.0434023912473467,0,0,-0.43015360624246995,S,Second,man,True,Southampton,no,True
145,0,2,male,-0.9436769810211798,1,1,1.4776260929636762,S,Second,man,True,Southampton,no,False
146,1,3,male,-0.145873699211844,0,0,-0.710026777006803,S,Third,man,True,Southampton,yes,True
147,0,3,female,-1.9409310832828495,2,2,1.2981814677908208,S,Third,child,False,Southampton,no,False
148,0,2,male,0.8015176979367422,0,2,0.6654030527075941,S,Second,man,True,Southampton,no,False
149,0,2,male,1.3500074541806606,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True
150,0,2,male,2.2475361462161634,0,0,-0.35270908379944815,S,Second,man,True,Southampton,no,True
153,0,3,male,1.2004193388414102,0,2,-0.2034867112872843,S,Third,man,True,Southampton,no,False
154,0,3,male,0.12329691538978338,0,0,-0.7465428137840833,S,Third,man,True,Southampton,no,True
155,0,1,male,2.2475361462161634,0,1,3.338500856040429,C,First,man,True,Cherbourg,no,False
156,1,3,female,-1.2428532116996807,0,0,-0.7147490039850359,Q,Third,woman,False,Queenstown,yes,True
157,0,3,male,0.1533025314666569,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True
158,0,3,male,0.12329691538978338,0,0,-0.6445427110542498,S,Third,man,True,Southampton,no,True
160,0,3,male,1.5494582746329946,0,1,-0.08259770064451848,S,Third,man,True,Southampton,no,False
161,1,2,female,1.1505566337283266,0,0,-0.10904217172262358,S,Second,woman,False,Southampton,yes,True
162,0,3,male,-0.24559910943801097,0,0,-0.7115983341451588,S,Third,man,True,Southampton,no,True
163,0,3,male,-1.1431278014735138,0,0,-0.6445427110542498,S,Third,man,True,Southampton,no,True
165,1,3,male,-1.9409310832828495,0,2,0.2517359694143802,S,Third,child,False,Southampton,yes,False
166,1,1,female,0.12329691538978338,0,1,2.8565163706077223,S,First,woman,False,Southampton,yes,False
167,0,3,female,1.6491836848591614,1,4,0.8089587528458783,S,Third,woman,False,Southampton,no,False
168,0,1,male,0.12329691538978338,0,0,0.6597363803337145,S,First,man,True,Southampton,no,True
169,0,3,male,-0.046148288985677036,0,0,2.9695324844323783,S,Third,man,True,Southampton,no,True
171,0,3,male,-2.4395581344136845,4,1,0.9015144016192459,Q,Third,child,False,Queenstown,no,False
173,0,3,male,-0.7442261605688458,0,0,-0.7002649893973995,S,Third,man,True,Southampton,no,True
175,0,3,male,-1.0434023912473467,1,1,-0.705614328118342,S,Third,man,True,Southampton,no,False
176,0,3,male,0.12329691538978338,3,1,0.6251092343477272,S,Third,man,True,Southampton,no,False
177,0,1,female,2.1478107359899963,0,0,0.8703477035629077,C,First,woman,False,Cherbourg,no,True
178,0,2,male,0.1533025314666569,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True
179,0,3,male,0.7516549928236588,0,0,-1.2990433702373483,S,Third,man,True,Southampton,no,True
181,0,2,male,0.12329691538978338,0,0,-0.16193111387883352,C,Second,man,True,Cherbourg,no,True
182,0,3,male,-1.9409310832828495,4,2,1.0724590182312816,S,Third,child,False,Southampton,no,False
184,1,3,female,-2.4395581344136845,0,2,0.36506941689197303,S,Third,child,False,Southampton,yes,False
185,0,1,male,0.12329691538978338,0,0,2.4787382123490795,S,First,man,True,Southampton,no,True
186,1,3,female,0.12329691538978338,1,0,-0.12793107963555572,Q,Third,woman,False,Queenstown,yes,False
187,1,1,male,1.6491836848591614,0,0,0.7069586501160449,S,First,man,True,Southampton,yes,True
188,0,3,male,1.1505566337283266,1,1,-0.12793107963555572,Q,Third,man,True,Queenstown,no,False
189,0,3,male,0.7516549928236588,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True
190,1,2,female,0.3527533519189909,0,0,-0.3168201587648771,S,Second,woman,False,Southampton,yes,True
191,0,2,male,-0.9436769810211798,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True
192,1,3,female,-0.9436769810211798,1,0,-0.705614328118342,S,Third,woman,False,Southampton,yes,False
193,1,2,male,-2.539283544639851,1,1,0.6654030527075941,S,Second,child,False,Southampton,yes,False
194,1,1,female,1.5494582746329946,0,0,0.7954191836538886,C,First,woman,False,Cherbourg,yes,True
196,0,3,male,0.12329691538978338,0,0,-0.713487224936452,Q,Third,man,True,Queenstown,no,True
197,0,3,male,1.3500074541806606,0,1,-0.6640587307098913,S,Third,man,True,Southampton,no,False
198,1,3,female,0.12329691538978338,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,yes,True
199,0,2,female,-0.4450499298903449,0,0,-0.3168201587648771,S,Second,woman,False,Southampton,no,True
200,0,3,male,-0.046148288985677036,0,0,-0.581264869545927,S,Third,man,True,Southampton,no,True
202,0,3,male,0.5522041723713248,0,0,-0.8082490981540501,S,Third,man,True,Southampton,no,True
203,0,3,male,1.699046389972245,0,0,-0.7531539315536095,C,Third,man,True,Cherbourg,no,True
204,1,3,male,-1.0434023912473467,0,0,-0.6908205354409335,S,Third,man,True,Southampton,yes,True
206,0,3,male,0.3527533519189909,1,0,-0.10148660855745076,S,Third,man,True,Southampton,no,False
207,1,3,male,-0.24559910943801097,0,0,0.12045805941950202,C,Third,man,True,Cherbourg,yes,True
208,1,3,female,-1.2428532116996807,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,yes,True
209,1,1,male,1.1505566337283266,0,0,1.0431812109662368,C,First,man,True,Cherbourg,yes,True
210,0,3,male,-0.4450499298903449,0,0,-0.766376167092662,S,Third,man,True,Southampton,no,True
211,1,2,female,0.6519295825974918,0,0,0.28762489444895134,S,Second,woman,False,Southampton,yes,True
212,0,3,male,-0.6445007503426788,0,0,-0.7512650407623164,S,Third,man,True,Southampton,no,True
213,0,2,male,0.1533025314666569,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True
214,0,3,male,0.12329691538978338,1,0,-0.713487224936452,Q,Third,man,True,Queenstown,no,False
216,1,3,female,-0.145873699211844,0,0,-0.7002649893973995,S,Third,woman,False,Southampton,yes,True
217,0,2,male,1.3500074541806606,1,0,0.7409586843593227,S,Second,man,True,Southampton,no,False
219,0,2,male,0.1533025314666569,0,0,-0.5057092378941985,S,Second,man,True,Southampton,no,True
220,1,3,male,-1.2428532116996807,0,0,-0.6908205354409335,S,Third,man,True,Southampton,yes,True
221,0,2,male,-0.145873699211844,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True
222,0,3,male,2.2475361462161634,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True
223,0,3,male,0.12329691538978338,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True
225,0,3,male,-0.6445007503426788,0,0,-0.5925982142936864,S,Third,man,True,Southampton,no,True
226,1,2,male,-0.9436769810211798,0,0,-0.5057092378941985,S,Second,man,True,Southampton,yes,True
227,0,3,male,-0.7940888656819293,0,0,-0.7512650407623164,S,Third,man,True,Southampton,no,True
228,0,2,male,-1.0434023912473467,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True
229,0,3,female,0.12329691538978338,3,1,0.6251092343477272,S,Third,woman,False,Southampton,no,False
231,0,3,male,0.05357712124048994,0,0,-0.7115983341451588,S,Third,man,True,Southampton,no,True
233,1,3,female,-2.3398327241875174,4,2,1.0724590182312816,S,Third,child,False,Southampton,yes,False
234,0,2,male,-0.4450499298903449,0,0,-0.5057092378941985,S,Second,man,True,Southampton,no,True
235,0,3,female,0.12329691538978338,0,0,-0.7285983512667977,S,Third,woman,False,Southampton,no,True
236,0,2,male,1.5494582746329946,1,0,0.6654030527075941,S,Second,man,True,Southampton,no,False
237,1,2,female,-2.0406564935090166,0,2,0.6842919606205263,S,Second,child,False,Southampton,yes,False
238,0,2,male,-0.9436769810211798,0,0,-0.5057092378941985,S,Second,man,True,Southampton,no,True
239,0,2,male,0.4524787621451578,0,0,-0.3715979917123803,S,Second,man,True,Southampton,no,True
240,0,3,female,0.12329691538978338,1,0,-0.20694715921693344,C,Third,woman,False,Cherbourg,no,False
241,1,3,female,0.12329691538978338,1,0,-0.12793107963555572,Q,Third,woman,False,Queenstown,yes,False
242,0,2,male,0.05357712124048994,0,0,-0.5057092378941985,S,Second,man,True,Southampton,no,True
243,0,3,male,-0.6445007503426788,0,0,-0.7607094947187824,S,Third,man,True,Southampton,no,True
244,0,3,male,0.1533025314666569,0,0,-0.7531539315536095,C,Third,man,True,Cherbourg,no,True
246,0,3,female,-0.34532451966417793,0,0,-0.7115983341451588,S,Third,woman,False,Southampton,no,True
247,1,2,female,-0.4450499298903449,0,2,-0.2034867112872843,S,Second,woman,False,Southampton,yes,False
248,1,1,male,0.8513804030498257,1,1,2.6717224067139247,S,First,man,True,Southampton,yes,False
249,0,2,male,2.5467123768946642,1,0,0.6654030527075941,S,Second,man,True,Southampton,no,False
250,0,3,male,0.12329691538978338,0,0,-0.7512650407623164,S,Third,man,True,Southampton,no,True
251,0,3,female,0.05357712124048994,1,1,-0.5085425740811383,S,Third,woman,False,Southampton,no,False
253,0,3,male,0.1533025314666569,1,0,-0.08259770064451848,S,Third,man,True,Southampton,no,False
254,0,3,female,1.2502820439544935,0,2,0.228124834523215,S,Third,woman,False,Southampton,no,False
255,1,3,female,0.05357712124048994,0,2,-0.1471373212014252,C,Third,woman,False,Cherbourg,yes,False
259,1,2,female,2.1478107359899963,0,1,0.6654030527075941,S,Second,woman,False,Southampton,yes,False
260,0,3,male,0.12329691538978338,0,0,-0.713487224936452,Q,Third,man,True,Queenstown,no,True
261,1,3,male,-2.539283544639851,4,2,1.0724590182312816,S,Third,child,False,Southampton,yes,False
263,0,1,male,1.1505566337283266,0,0,-1.2990433702373483,S,First,man,True,Southampton,no,True
264,0,3,female,0.12329691538978338,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,no,True
265,0,2,male,0.7516549928236588,0,0,-0.5057092378941985,S,Second,man,True,Southampton,no,True
266,0,3,male,-1.2428532116996807,4,1,1.6995707609406288,S,Third,man,True,Southampton,no,False
267,1,3,male,-0.34532451966417793,1,0,-0.7115983341451588,S,Third,man,True,Southampton,yes,False
270,0,1,male,0.12329691538978338,0,0,1.0431812109662368,S,First,man,True,Southampton,no,True
271,1,3,male,-0.34532451966417793,0,0,-1.2990433702373483,S,Third,man,True,Southampton,yes,True
272,1,2,female,1.2502820439544935,0,1,0.1742914469713585,S,Second,woman,False,Southampton,yes,False
273,0,1,male,0.8513804030498257,0,1,0.9449588898189898,C,First,man,True,Cherbourg,no,False
274,1,3,female,0.12329691538978338,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,yes,True
276,0,3,female,1.6491836848591614,0,0,-0.713487224936452,S,Third,woman,False,Southampton,no,True
277,0,2,male,0.12329691538978338,0,0,-1.2990433702373483,S,Second,man,True,Southampton,no,True
278,0,3,male,-2.1403819037351832,4,1,0.9015144016192459,Q,Third,child,False,Queenstown,no,False
279,1,3,female,0.6519295825974918,1,1,0.23095817071015493,S,Third,woman,False,Southampton,yes,False
281,0,3,male,-0.046148288985677036,0,0,-0.705614328118342,S,Third,man,True,Southampton,no,True
282,0,3,male,-1.2428532116996807,0,0,-0.581264869545927,S,Third,man,True,Southampton,no,True
283,1,3,male,-0.9436769810211798,0,0,-0.6908205354409335,S,Third,man,True,Southampton,yes,True
284,0,1,male,0.12329691538978338,0,0,0.6654030527075941,S,First,man,True,Southampton,no,True
285,0,3,male,0.4524787621451578,0,0,-0.6445427110542498,C,Third,man,True,Cherbourg,no,True
286,1,3,male,0.1533025314666569,0,0,-0.581264869545927,S,Third,man,True,Southampton,yes,True
287,0,3,male,-0.6445007503426788,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True
288,1,2,male,1.3500074541806606,0,0,-0.3168201587648771,S,Second,man,True,Southampton,yes,True
289,1,3,female,-0.6445007503426788,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,yes,True
292,0,2,male,0.7516549928236588,0,0,-0.32626461272134316,C,Second,man,True,Cherbourg,no,True
293,0,3,female,-0.4450499298903449,0,0,-0.6303760301195507,S,Third,woman,False,Southampton,no,True
294,0,3,male,-0.4450499298903449,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True
295,0,1,male,0.12329691538978338,0,0,0.7954191836538886,C,First,man,True,Cherbourg,no,True
296,0,3,male,-0.4949126350034284,0,0,-0.7528365979006724,C,Third,man,True,Cherbourg,no,True
298,1,1,male,0.12329691538978338,0,0,1.0054033951403727,S,First,man,True,Southampton,yes,True
300,1,3,female,0.12329691538978338,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,yes,True
301,1,3,male,0.12329691538978338,2,0,0.4576250656653406,Q,Third,man,True,Queenstown,yes,False
302,0,3,male,-0.9436769810211798,0,0,-1.2990433702373483,S,Third,man,True,Southampton,no,True
303,1,2,female,0.12329691538978338,0,0,-0.3659313193385007,Q,Second,woman,False,Queenstown,yes,True
304,0,3,male,0.12329691538978338,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True
308,0,2,male,0.1533025314666569,1,0,0.514291789404137,C,Second,man,True,Cherbourg,no,False
309,1,1,female,0.1533025314666569,0,0,3.002278295190237,C,First,woman,False,Cherbourg,yes,True
312,0,2,female,-0.24559910943801097,1,1,0.6654030527075941,S,Second,woman,False,Southampton,no,False
313,0,3,male,-0.046148288985677036,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True
314,0,2,male,1.4497328644068275,1,1,0.6842919606205263,S,Second,man,True,Southampton,no,False
315,1,3,female,-0.24559910943801097,0,0,-0.705614328118342,S,Third,woman,False,Southampton,yes,True
316,1,2,female,-0.4450499298903449,1,0,0.6654030527075941,S,Second,woman,False,Southampton,yes,False
317,0,2,male,2.5467123768946642,0,0,-0.24126452711314855,S,Second,man,True,Southampton,no,True
320,0,3,male,-0.6445007503426788,0,0,-0.7512650407623164,S,Third,man,True,Southampton,no,True
321,0,3,male,-0.145873699211844,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True
322,1,2,female,0.1533025314666569,0,0,-0.3659313193385007,Q,Second,woman,False,Queenstown,yes,True
323,1,2,female,-0.6445007503426788,1,1,0.8920699476627798,S,Second,woman,False,Southampton,yes,False
327,1,2,female,0.7516549928236588,0,0,-0.3168201587648771,S,Second,woman,False,Southampton,yes,True
328,1,3,female,0.2530279416928239,1,1,0.2517359694143802,S,Third,woman,False,Southampton,yes,False
329,1,1,female,-1.2428532116996807,0,1,3.081611708424552,C,First,woman,False,Cherbourg,yes,False
330,1,3,female,0.12329691538978338,2,0,0.4576250656653406,Q,Third,woman,False,Queenstown,yes,False
331,0,1,male,1.699046389972245,0,0,0.8542921318369155,S,First,man,True,Southampton,no,True
333,0,3,male,-1.2428532116996807,2,0,0.06095799949376567,S,Third,man,True,Southampton,no,False
335,0,3,male,0.12329691538978338,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True
338,1,3,male,1.6491836848591614,0,0,-0.6908205354409335,S,Third,man,True,Southampton,yes,True
339,0,1,male,1.6491836848591614,0,0,1.3831815533990155,S,First,man,True,Southampton,no,True
342,0,2,male,-0.046148288985677036,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True
343,0,2,male,-0.34532451966417793,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True
344,0,2,male,0.7516549928236588,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True
345,1,2,female,-0.4450499298903449,0,0,-0.3168201587648771,S,Second,woman,False,Southampton,yes,True
346,1,2,female,1.1505566337283266,0,0,-0.3168201587648771,S,Second,woman,False,Southampton,yes,True
347,1,3,female,0.12329691538978338,1,0,-0.08259770064451848,S,Third,woman,False,Southampton,yes,False
348,1,3,male,-2.539283544639851,1,1,-0.09770882697486427,S,Third,child,False,Southampton,yes,False
349,0,3,male,1.3500074541806606,0,0,-0.6445427110542498,S,Third,man,True,Southampton,no,True
350,0,3,male,-0.5447753401165119,0,0,-0.6020426682501524,S,Third,man,True,Southampton,no,True
